PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=0.982 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=276 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=65.4 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=77.9 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=83.4 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=188 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=220 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=226 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=247 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=239 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=251 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=239 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=268 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=255 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=252 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=272 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=163 ms
